t,x,y
0.000000000E0,2.680373832E2,-1.271775701E3
1.024380250E-1,2.681163011E2,-1.271779324E3
2.048760500E-1,2.680198996E2,-1.271440915E3
3.073140750E-1,2.676763135E2,-1.271179242E3
4.097521000E-1,2.679913220E2,-1.270912487E3
5.121901250E-1,2.682373427E2,-1.270902383E3
6.146281500E-1,2.681759345E2,-1.270813963E3
7.170661750E-1,2.680265069E2,-1.270853195E3
8.195042000E-1,2.680903225E2,-1.271456001E3
9.219422250E-1,2.677295447E2,-1.271819320E3
1.024380250E0,2.671112882E2,-1.271831768E3
1.126818275E0,2.668199939E2,-1.271810961E3
1.229256300E0,2.663617984E2,-1.271073610E3
1.331694325E0,2.663517313E2,-1.270934823E3
1.434132350E0,2.669820784E2,-1.271714302E3
1.536570375E0,2.674333245E2,-1.271842906E3
1.639008400E0,2.671421171E2,-1.271831476E3
1.741446425E0,2.670985795E2,-1.270913836E3
1.843884450E0,2.669543796E2,-1.270815117E3
1.946322475E0,2.669744296E2,-1.270633684E3
2.048760500E0,2.669209378E2,-1.269957394E3
2.151198525E0,2.667518047E2,-1.269593339E3
2.253636550E0,2.670108172E2,-1.269494480E3
2.356074575E0,2.672803746E2,-1.269641847E3
2.458512600E0,2.679520012E2,-1.269761544E3
2.560950625E0,2.682590983E2,-1.269850259E3
2.663388650E0,2.689179633E2,-1.270484393E3
2.765826675E0,2.690817227E2,-1.270607484E3
2.868264700E0,2.694536662E2,-1.270558332E3
2.970702725E0,2.696403659E2,-1.270623901E3
3.073140750E0,2.700947373E2,-1.270192180E3
3.175578775E0,2.703233436E2,-1.270637663E3
3.278016800E0,2.705478224E2,-1.270659870E3
3.380454825E0,2.709530084E2,-1.270658803E3
3.482892850E0,2.709369354E2,-1.270880689E3
3.585330875E0,2.709178163E2,-1.271111461E3
3.687768900E0,2.709630470E2,-1.270624866E3
3.790206925E0,2.705581964E2,-1.270696903E3
3.892644950E0,2.704259119E2,-1.270036378E3
3.995082975E0,2.705503825E2,-1.270560662E3
4.097521000E0,2.703000037E2,-1.270256502E3
4.199959025E0,2.702627414E2,-1.270782229E3
4.302397050E0,2.709844805E2,-1.270730844E3
4.404835075E0,2.710963867E2,-1.270861488E3
4.507273100E0,2.712094939E2,-1.270780330E3
4.609711125E0,2.711542968E2,-1.270900812E3
4.712149150E0,2.709950878E2,-1.270796128E3
4.814587175E0,2.711761609E2,-1.270502899E3
4.917025200E0,2.711260376E2,-1.270124602E3
5.019463225E0,2.711275580E2,-1.270513168E3
5.121901250E0,2.710906401E2,-1.270670894E3
5.224339275E0,2.709415155E2,-1.270237257E3
5.326777300E0,2.712624039E2,-1.270453326E3
5.429215325E0,2.712404177E2,-1.271378099E3
5.531653350E0,2.709665025E2,-1.271936118E3
5.634091375E0,2.709704486E2,-1.272413950E3
5.736529400E0,2.713318127E2,-1.272020815E3
5.838967425E0,2.713740358E2,-1.271806740E3
5.941405450E0,2.711810686E2,-1.271208120E3
6.043843475E0,2.719014688E2,-1.271015744E3
6.146281500E0,2.727175569E2,-1.271422493E3
6.248719525E0,2.728472696E2,-1.271852082E3
6.351157550E0,2.730592908E2,-1.271839885E3
6.453595575E0,2.731380449E2,-1.272175197E3
6.556033600E0,2.731768838E2,-1.272398228E3
6.658471625E0,2.730434292E2,-1.272062011E3
6.760909650E0,2.738049178E2,-1.272684456E3
6.863347675E0,2.738942985E2,-1.272381975E3
6.965785700E0,2.739767463E2,-1.272774024E3
7.068223725E0,2.747670344E2,-1.272182862E3
7.170661750E0,2.746908179E2,-1.272041650E3
7.273099775E0,2.752691507E2,-1.272018025E3
7.375537800E0,2.757929455E2,-1.272515565E3
7.477975825E0,2.757009692E2,-1.273143182E3
7.580413850E0,2.760198483E2,-1.272826841E3
7.682851875E0,2.765287059E2,-1.273469343E3
7.785289900E0,2.769291946E2,-1.273812834E3
7.887727925E0,2.770887594E2,-1.273838358E3
7.990165950E0,2.772675643E2,-1.273774144E3
8.092603975E0,2.774125594E2,-1.273791983E3
8.195042000E0,2.771638112E2,-1.273750620E3
8.297480025E0,2.773385658E2,-1.273679753E3
8.399918050E0,2.774479561E2,-1.273880626E3
8.502356075E0,2.778266421E2,-1.274299153E3
8.604794100E0,2.784418513E2,-1.274681884E3
8.707232125E0,2.790127400E2,-1.274793541E3
8.809670150E0,2.791450637E2,-1.274838051E3
8.912108175E0,2.791174287E2,-1.274848866E3
9.014546200E0,2.800278745E2,-1.274822408E3
9.116984225E0,2.808792903E2,-1.274896298E3
9.219422250E0,2.811841242E2,-1.274491737E3
9.321860275E0,2.816775717E2,-1.274548220E3
9.424298300E0,2.818465499E2,-1.275028819E3
9.526736325E0,2.820994073E2,-1.274869427E3
9.629174350E0,2.822944658E2,-1.274739364E3
9.731612375E0,2.820768127E2,-1.274852668E3
9.834050400E0,2.820072530E2,-1.275021584E3
9.936488425E0,2.818435409E2,-1.274918930E3
1.003892645E1,2.814292920E2,-1.274877058E3
1.014136447E1,2.818296558E2,-1.275721700E3
1.024380250E1,2.816800219E2,-1.275769782E3
1.034624052E1,2.820646389E2,-1.275771542E3
1.044867855E1,2.821348163E2,-1.274928710E3
1.055111657E1,2.822246968E2,-1.274832236E3
1.065355460E1,2.818586328E2,-1.275134764E3
1.075599262E1,2.820098410E2,-1.274852448E3
1.085843065E1,2.821919850E2,-1.274734557E3
1.096086867E1,2.827174969E2,-1.274266545E3
1.106330670E1,2.834676482E2,-1.274557909E3
1.116574472E1,2.831751898E2,-1.275081466E3
1.126818275E1,2.830251858E2,-1.274765992E3
1.137062077E1,2.839735688E2,-1.274432642E3
1.147305880E1,2.847868039E2,-1.274365436E3
1.157549682E1,2.853562974E2,-1.274020112E3
1.167793485E1,2.860150598E2,-1.273888636E3
1.178037287E1,2.861277614E2,-1.274591015E3
1.188281090E1,2.859955952E2,-1.274797292E3
1.198524892E1,2.860298898E2,-1.274809476E3
1.208768695E1,2.859520351E2,-1.275282608E3
1.219012497E1,2.860249924E2,-1.275775836E3
1.229256300E1,2.861867392E2,-1.275932446E3
1.239500102E1,2.868810853E2,-1.276804667E3
